"year","source","count"
"2008","[VaxInnate Corporation]","2"
"2008","[National Cheng-Kung University Hospital]","2"
"2008","[Repros Therapeutics Inc.]","12"
"2008","[Nastech Pharmaceutical Company, Inc.]","2"
"2008","[Sherman College of Straight Chiropractic]","1"
"2008","[Jennerex Biotherapeutics]","1"
"2008","[Università Vita-Salute San Raffaele]","2"
"2008","[CHI St. Luke's Health, Texas]","1"
"2008","[University of Yamanashi]","1"
"2008","[Northside Clinic, Australia]","1"
"2008","[University of Oslo]","3"
"2008","[Centocor Ortho Biotech Services, L.L.C.]","2"
"2008","[Roll International Corporation]","2"
"2008","[QLT Inc.]","1"
"2008","[Centre Hospitalier Universitaire, Amiens]","2"
"2008","[Durrie Vision]","2"
"2008","[Wicab]","1"
"2008","[Pennine Acute Hospitals NHS Trust]","1"
"2008","[Philip Morris Products S.A.]","1"
"2009","[Vanderbilt University]","37"
"2009","[Universiteit Antwerpen]","3"
"2009","[University of Michigan]","43"
"2009","[McMaster University]","34"
"2009","[University of Oxford]","28"
"2009","[Castilla-León Health Service]","1"
"2009","[Veterans Medical Research Foundation]","2"
"2009","[Marilia Medicine School]","3"
"2009","[The Korean Academy of Tuberculosis and Respiratory Diseases]","1"
"2009","[Neurostream Technologies G.P.]","1"
"2009","[Corporacion Parc Tauli]","1"
"2009","[Stromedix, Inc.]","1"
"2009","[Integra LifeSciences Corporation]","3"
"2009","[Shenzhen SiBiono GeneTech Co.,Ltd]","3"
"2009","[Neuroscience Trials Australia]","1"
"2009","[Marshall University]","1"
"2009","[The University of Tennessee, Knoxville]","7"
"2009","[LenSx Lasers Inc.]","1"
"2009","[SeaCare Health Services]","1"
"2009","[Orasi Medical, Inc.]","2"
"2009","[Marquette General Health System]","1"
"2009","[Shahrekord University]","1"
"2009","[BioPheresis GmbH]","1"
"2009","[University of Pavia]","1"
"2010","[Centers for Disease Control and Prevention]","15"
"2009","[OxThera]","1"
"2010","[National Institute of Cancerología]","5"
"2010","[Biogen]","25"
"2010","[Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau]","12"
"2010","[Azidus Brasil]","23"
"2010","[Foundation of Cardiovascular Research and Education Enschede]","1"
"2010","[Korean Urological Oncology Society]","1"
"2010","[Henry M. Jackson Foundation for the Advancement of Military Medicine]","2"
"2010","[Diskapi Teaching and Research Hospital]","3"
"2010","[Roswell Park Cancer Institute]","14"
"2010","[SciBase AB]","1"
"2010","[National Multiple Sclerosis Society]","1"
"2010","[Fresenius Medical Care North America]","3"
"2010","[Uptake Medical Corp]","1"
"2010","[St. James's Hospital, Ireland]","1"
"2010","[Danish Pain Research Center]","2"
"2010","[CardioDex]","1"
"2010","[Renovo]","1"
"2010","[Center for Diabetes Control, Inc.]","1"
"2010","[Archivel Farma S.L.]","1"
"2010","[MacroGenics]","3"
"2010","[Instituto Nacional de Cardiologia Ignacio Chavez]","1"
"2010","[German Aortic Valve Registry]","1"
"2010","[Valleywise Health]","3"
"2010","[Dynasplint Systems, Inc.]","2"
"2010","[University of Catania]","3"
"2010","[University of Regensburg]","3"
"2010","[Huang, Jeannie, M.D.]","1"
"2010","[Medical Neurogenetics, LLC]","1"
"2011","[Dalhousie University]","5"
"2011","[Norwegian University of Science and Technology]","23"
"2011","[Astellas Pharma Inc]","78"
"2011","[Lahey Clinic]","1"
"2011","[Norwegian Centre for Ageing and Health]","3"
"2011","[A.O. Ospedale Papa Giovanni XXIII]","2"
"2011","[Wellspect HealthCare]","1"
"2011","[Leonard Wood Memorial]","1"
"2011","[Centre Hospitalier Universitaire, Amiens]","6"
"2011","[Maturi, Raj K., M.D., P.C.]","1"
"2011","[Seoul National University Bundang Hospital]","20"
"2011","[Bausch Health Americas, Inc.]","23"
"2011","[Wyckoff Heights Medical Center]","1"
"2011","[Regina Elena Cancer Institute]","1"
"2011","[BioMed Valley Discoveries, Inc]","1"
"2011","[DSM Food Specialties]","1"
"2011","[Pennine Acute Hospitals NHS Trust]","1"
"2011","[University of Southampton]","3"
"2011","[VA Ann Arbor Healthcare System]","1"
"2011","[Parc de Salut Mar]","8"
"2011","[Associated Eye Care, Minnesota]","1"
"2011","[Mauna Kea Technologies]","1"
"2011","[Yan Chai Hospital]","1"
"2011","[ISTO Technologies, Inc.]","1"
"2011","[Bezmialem Vakif University]","3"
"2011","[Aventyn, Inc.]","1"
"2011","[Light Chain Bioscience - Novimmune SA]","2"
"2011","[Nymox Corporation]","1"
"2011","[Pirogov Russian National Research Medical University]","1"
"2011","[Beijing Ditan Hospital]","2"
"2011","[Irmandade da Santa Casa de Misericordia de Curitiba]","1"
"2011","[University of Siena]","1"
"2011","[AbGenomics B.V Taiwan Branch]","1"
"2011","[Treatment Research Institute]","1"
"2011","[Zydus Lifesciences Limited]","1"
"2011","[ZS Pharma, Inc.]","1"
"2011","[Wicab]","1"
"2011","[Polaris Health Directions]","1"
"2011","[Instituto de Olhos de Goiania]","1"
"2011","[Zhengzhou Children's Hospital, China]","1"
"2012","[University of California, Los Angeles]","52"
"2012","[Università Vita-Salute San Raffaele]","4"
"2012","[Universidade Federal de Sao Carlos]","3"
"2012","[National Cancer Center, Korea]","17"
"2012","[Oragenics, Inc.]","1"
"2012","[ConjuChem]","1"
"2012","[United Christian Hospital]","1"
"2012","[University Hospital, Grenoble]","23"
"2012","[JW Pharmaceutical]","6"
"2012","[PharmaMar]","1"
"2012","[Galderma R&D]","10"
"2012","[University Hospital, Bonn]","6"
"2012","[Université Libre de Bruxelles]","1"
"2012","[Children's Hospital of Philadelphia]","10"
"2012","[Tokai University]","1"
"2012","[Universidade Federal de Pernambuco]","7"
"2012","[Central Hospital, Nancy, France]","10"
"2012","[Beijing Hospital]","3"
"2012","[Institute of Oncology Ljubljana]","1"
"2012","[University Hospital of the Nuestra Señora de Candelaria]","1"
"2012","[AIM ImmunoTech Inc.]","1"
"2012","[Midwest Heart Foundation]","1"
"2012","[Eastern Hepatobiliary Surgery Hospital]","4"
"2012","[Hopital Lariboisière]","3"
"2012","[Agren, Per-Henrik, M.D.]","1"
"2012","[Radiancy]","1"
"2012","[Sutter Health]","3"
"2012","[Medipost Co Ltd.]","2"
"2012","[Thai Red Cross AIDS Research Centre]","4"
"2012","[University of Bamako]","1"
"2012","[GenMont Biotech Incorporation]","1"
"2012","[Clinique Neuro-Outaouais]","1"
"2012","[Movetis]","3"
"2012","[China Spinal Cord Injury Network]","1"
"2012","[XOMA (US) LLC]","3"
"2012","[Corum State Hospital]","1"
"2012","[Solasia Pharma K.K.]","1"
"2012","[Health HQ]","1"
"2012","[Pierre and Marie Curie University]","2"
"2013","[Washington University School of Medicine]","75"
"2013","[Pusan National University Hospital]","6"
"2013","[Peking University People's Hospital]","8"
"2013","[University of Delaware]","3"
"2013","[Uniform Data System for Medical Rehabilitation]","1"
"2013","[Mundipharma K.K.]","2"
"2013","[Mannkind Corporation]","3"
"2013","[Spine Centre of Southern Denmark]","1"
"2013","[Deutsches Herzzentrum Muenchen]","7"
"2013","[Instituto de Investigación Sanitaria de la Fundación Jiménez Díaz]","1"
"2013","[HIV Prevention Trials Network]","1"
"2013","[University of Campinas, Brazil]","11"
"2013","[Coopervision, Inc.]","8"
"2013","[Truth Initiative]","1"
"2013","[Chung-Ang University Hosptial, Chung-Ang University College of Medicine]","3"
"2013","[Nanjing University]","1"
"2013","[InspireMD]","1"
"2013","[Haag-Streit AG]","1"
"2013","[Eastern Virginia Medical School]","1"
"2013","[SI-BONE, Inc.]","1"
"2013","[BioGaia AB]","2"
"2013","[University of Ibadan]","1"
"2013","[Pontifícia Universidade Católica do Paraná]","3"
"2013","[5i Sciences, Inc.]","1"
"2013","[Grupo de Enfermedades Infecciosas de la Sociedad Española de Sanidad Penitenciaria]","1"
"2013","[Zeynep Kamil Maternity and Pediatric Research and Training Hospital]","1"
"2013","[NeuroEnabling Technologies, Inc.]","2"
"2013","[NSW Organ and Tissue Donation Service]","1"
"2013","[Yuksek Ihtisas Hospital]","2"
"2013","[Kona Medical Inc.]","1"
"2013","[FORUM Pharmaceuticals Inc]","5"
"2013","[University of Crete]","1"
"2014","[Adva-Tec]","1"
"2014","[Liberate Medical]","1"
"2014","[Emergent BioSolutions]","6"
"2014","[Deutsches Herzzentrum Muenchen]","2"
"2014","[Institut du Cancer de Montpellier - Val d'Aurelle]","3"
"2014","[FORSIGHT Vision3]","1"
"2014","[Bergen University College]","3"
"2014","[Inonu University]","3"
"2014","[WHO, Department of Maternal, Newborn, Child and Adolescent Health]","1"
"2014","[University of Turku]","5"
"2014","[San Diego Veterans Healthcare System]","3"
"2014","[Ono Pharmaceutical Co. Ltd]","5"
"2014","[International Food Policy Research Institute]","5"
"1999","[Massachusetts General Hospital]","4"
"2004","[Dana-Farber Cancer Institute]","16"
"2003","[University Health Network, Toronto]","13"
"1999","[Hugo W. Moser Research Institute at Kennedy Krieger, Inc.]","1"
"2001","[Fred Hutchinson Cancer Center]","2"
"2003","[University of California, Los Angeles]","4"
"2003","[BioMarin Pharmaceutical]","1"
"2005","[Duke University]","27"
"2005","[Centers for Disease Control and Prevention]","142"
"2005","[Jaeb Center for Health Research]","3"
"2002","[University of Minnesota]","1"
"2003","[Procter and Gamble]","1"
"2005","[The Cooper Institute]","4"
"2004","[Millennium Pharmaceuticals, Inc.]","2"
"2005","[FlowMedic]","1"
"2005","[MTmedical Institute of Health]","1"
"2005","[Dalhousie University]","2"
"2005","[Yamaguchi University Hospital]","1"
"2005","[Connolly, Stuart, M.D.]","2"
"2006","[Forschungsinstitut für Balneologie und Kurortwissenschaft Bad Elster]","4"
"2006","[Kastle Therapeutics, LLC]","3"
"2005","[Danish Headache Center]","4"
"2006","[University of Missouri-Columbia]","3"
"2005","[Laddis, Andreas, M.D.]","1"
"2006","[Nantes University Hospital]","6"
"2006","[Tel-Aviv Sourasky Medical Center]","7"
"2006","[Pennington Biomedical Research Center]","8"
"2005","[Nambudripad's Allergy Research Foundation]","1"
"2006","[Central South University]","1"
"2006","[Light Sciences Oncology]","2"
"2006","[Nagoya University]","4"
"2006","[Aurolab]","3"
"2006","[International Hyperbarics Association]","2"
"2006","[ARCA Biopharma, Inc.]","3"
"2006","[Hospital Universitario Ramon y Cajal]","1"
"2006","[Thallion Pharmaceuticals]","1"
"2006","[Tallikut Pharmaceuticals, Inc.]","2"
"2006","[Alimera Sciences]","1"
"2006","[Acrux DDS Pty Ltd]","1"
"2007","[Association pour la Recherche en Physiologie de l'Environnement]","1"
"2007","[CardioVascular BioTherapeutics, Inc.]","2"
"2006","[BioTex, Inc.]","2"
"2007","[UCB Pharma]","47"
"2007","[PiLeJe]","1"
"2007","[American University]","2"
"2007","[Ligand Pharmaceuticals]","2"
"2007","[University Hospital of Mont-Godinne]","1"
"2007","[Antipodean Pharmaceuticals, Inc.]","1"
"2007","[Makerere University]","3"
"2007","[Agency for Healthcare Research and Quality (AHRQ)]","5"
"2007","[Danish Lung Cancer Group]","1"
"2007","[Taipei Veterans General Hospital, Taiwan]","3"
"2007","[Catalysis SL]","2"
"2007","[German Federal Armed Forces]","1"
"2007","[University of Oslo School of Pharmacy]","1"
"2007","[Provectus Pharmaceuticals]","2"
"2007","[Jawaharlal Nehru Medical College]","1"
"2007","[Thai Red Cross AIDS Research Centre]","1"
"2007","[NanoPass Technologies Ltd]","2"
"2008","[William Beaumont Hospitals]","16"
"2008","[Louisiana State University Health Sciences Center in New Orleans]","7"
"2008","[Mitsubishi Tanabe Pharma Corporation]","11"
"2008","[Johns Hopkins Bloomberg School of Public Health]","6"
"2008","[National Institute of Mental Health (NIMH)]","5"
"2008","[Actelion]","9"
"2008","[GAAD Medical Research Institute Inc.]","10"
"2008","[Federation Francophone de Cancerologie Digestive]","1"
"2008","[Bnai Zion Medical Center]","2"
"2008","[University of Pecs]","1"
"2008","[Air Liquide Santé International]","5"
"2008","[Amgen Research (Munich) GmbH]","1"
"2008","[TCA Cellular Therapy]","3"
"2008","[Population Health Research Institute]","1"
"2008","[Shanghai Changzheng Hospital]","2"
"2008","[Peplin]","3"
"2008","[Nutricia North America]","1"
"2008","[AVAX Technologies]","1"
"2008","[Center for Epidemiology and Health Research, Germany]","1"
"2008","[Jumper, J. Michael, M.D.]","1"
"2008","[Russian Academy of Medical Sciences]","1"
"2008","[IRCCS Azienda Ospedaliera Universitaria San Martino - IST Istituto Nazionale per la Ricerca sul Cancro, Genoa, Italy]","1"
"2008","[Thiruvananthapuram Medical College]","1"
"2008","[University of New England]","1"
"2008","[Memorial University of Newfoundland]","1"
"2008","[Cancer Research UK, Glasgow]","1"
"2008","[Bio-K Plus International Inc.]","1"
"2008","[Dhp Korea Co., Ltd.]","1"
"2008","[Ausio Pharmaceuticals, LLC]","1"
"2008","[Centro Medico Campinas]","1"
"2008","[Bangalore Assisted Conception Centre]","1"
"2008","[Sichuan University]","1"
"2008","[National Healthcare Group, Singapore]","1"
"2008","[Centre Muraz]","1"
"2009","[University of Rhode Island]","2"
"2009","[Infraredx]","3"
"2009","[University of Colorado, Denver]","40"
"2009","[USDA Grand Forks Human Nutrition Research Center]","1"
"2009","[Merz Pharmaceuticals GmbH]","8"
"2009","[West Park Healthcare Centre]","1"
"2009","[Polish Colorectal Cancer Study Group]","1"
"2009","[American University of Beirut Medical Center]","4"
"2009","[Instituto Nacional de Cardiologia Ignacio Chavez]","3"
"2009","[Gynuity Health Projects]","7"
"2009","[Regione Lombardia]","1"
"2009","[The HIV Netherlands Australia Thailand Research Collaboration]","3"
"2009","[APR Applied Pharma Research s.a.]","1"
"2009","[Princess Alexandra Hospital, Brisbane, Australia]","1"
"2009","[Keio University]","1"
"2009","[Cosmetique Active International]","2"
"2009","[Berlin-Chemie Menarini]","1"
"2009","[University of Massachusetts, Boston]","1"
"2009","[CPL Associates]","1"
"2009","[National Medical Research Council (NMRC), Singapore]","1"
"2009","[Daewoong Pharmaceutical Co. LTD.]","1"
"2009","[Sociedad Andaluza de Enfermedades Infecciosas]","1"
"2009","[Valio Ltd]","2"
"2009","[University of Indianapolis]","1"
"2009","[Allergisa Pesquisa Dermato-Cosmetica LTDA]","1"
"2010","[Finnish Institute for Health and Welfare]","5"
"2010","[Medical University of South Carolina]","15"
"2009","[Basque Health Service]","1"
"2010","[University of Pennsylvania]","59"
"2010","[University of Erlangen-Nürnberg Medical School]","13"
"2010","[Philogen S.p.A.]","10"
"2010","[VIVUS LLC]","7"
"2010","[Resverlogix Corp]","2"
"2010","[University of Vermont]","8"
"2010","[Maastricht Radiation Oncology]","8"
"2010","[Svendborg Hospital]","1"
"2010","[University Hospital Hradec Kralove]","2"
"2010","[Cardenal Herrera University]","2"
"2010","[Queen Mary University of London]","7"
"2010","[Singapore National Eye Centre]","7"
"2010","[Second Military Medical University]","4"
"2010","[Grifols Biologicals, LLC]","1"
"2010","[Celularity Incorporated]","2"
"2010","[Public Research Centre Health, Luxembourg]","2"
"2010","[CorMedix]","1"
"2010","[Complejo Hospitalario Dr. Arnulfo Arias Madrid]","1"
"2010","[Association Pour La Recherche des Thérapeutiques Innovantes en Cancérologie]","1"
"2010","[5 Santé]","2"
"2010","[Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)]","2"
"2010","[cerbomed GmbH]","4"
"2010","[South East Asia Research Collaboration with Hawaii]","1"
"2010","[Central South University]","1"
"2010","[Qingdao University]","6"
"2010","[Akloma Bioscience AB]","1"
"2010","[Crucell Holland BV]","2"
"2010","[White River Junction Veterans Affairs Medical Center]","1"
"2010","[ReWalk Robotics, Inc.]","1"
"2010","[Amorepacific Corporation]","1"
"2011","[Precision Therapeutics]","2"
"2011","[Arizona State University]","3"
"2011","[Far Eastern Memorial Hospital]","17"
"2011","[Northern State Medical University]","4"
"2011","[McGill University]","5"
"2011","[St. John Health System, Michigan]","1"
"2011","[AO Innovation Translation Center]","3"
"2011","[TRB Chemedica]","1"
"2011","[The Nazareth Hospital, Israel]","1"
"2011","[Atrial Fibrillation Network]","1"
"2011","[National Bureau of Economic Research, Inc.]","4"
"2011","[Geisinger Clinic]","2"
"2011","[Luminex Molecular Diagnostics]","2"
"2011","[InCor Heart Institute]","2"
"2011","[AHS Cancer Control Alberta]","11"
"2011","[Foundation Fader]","2"
"2011","[University of Malaya]","5"
"2011","[Indonesia University]","3"
"2011","[University of Hull]","1"
"2011","[De La Salle University Medical Center]","1"
"2011","[Groupe d'Etude Therapeutique des Affections Inflammatoires Digestives]","2"
"2011","[University College of Antwerp]","1"
"2011","[Irmandade Santa Casa de Misericórdia de Porto Alegre]","2"
"2011","[Modum Bad]","1"
"2011","[Centro Nacional de Investigaciones Oncologicas CARLOS III]","2"
"2011","[ElMindA Ltd]","1"
"2011","[Šarić, Jadranka Pavičić, M.D.]","1"
"2011","[Cardica, Inc]","2"
"2011","[Flyvbjerg, Allan, DMSc]","1"
"2012","[Florida State University]","5"
"2012","[National Police Hospital]","2"
"2012","[Bukwang Pharmaceutical]","3"
"2012","[Kyowa Kirin Co., Ltd.]","8"
"2012","[University of Iowa]","16"
"2012","[Roche Sequencing Solutions]","1"
"2012","[University Hospital, Clermont-Ferrand]","26"
"2012","[Bausch & Lomb Incorporated]","17"
"2012","[Aichi Gakuin University]","1"
"2012","[Biolab Sanus Farmaceutica]","1"
"2012","[Total Cardiovascular Solutions]","2"
"2012","[Heilongjiang University of Chinese Medicine]","1"
"2012","[Louis Stokes VA Medical Center]","1"
"2012","[Guangzhou Medical University]","2"
"2012","[Azienda Ospedaliera di Lecco]","2"
"2012","[New York State Institute for Basic Research]","1"
"2012","[Dow University of Health Sciences]","1"
"2012","[InSightec]","2"
"2012","[Gastroenterology Services, Ltd.]","2"
"2012","[AdvanceCor GmbH]","1"
"2012","[Osakidetza]","1"
"2012","[Harvard University]","2"
"2012","[Harbin Medical University]","1"
"2012","[Intermountain Health Care, Inc.]","2"
"2012","[University of Colorado, Colorado Springs]","1"
"2012","[Acceleron Pharma Inc. (a wholly owned subsidiary of Merck Sharp and Dohme, a subsidiary of Merck & Co., Inc.)]","3"
"2012","[Oncoethix GmbH]","1"
"2012","[Facet Technologies]","1"
"2012","[ProMedica Health System]","1"
"2012","[North Bronx Healthcare Network]","1"
"2012","[Memorial Blood Centers, Minnesota]","1"
"2013","[Boston Medical Center]","14"
"2013","[University of Oulu]","17"
"2013","[AEterna Zentaris]","1"
"2013","[Soonchunhyang University Hospital]","1"
"2013","[Richard Solomon MD, Plc]","1"
"2013","[Guangxi Medical University]","4"
"2013","[Southern Illinois University]","1"
"2013","[University of Konstanz]","3"
"2013","[IBSA Institut Biochimique SA]","2"
"2013","[Dalim BioTech Co., Ltd.]","1"
"2013","[University Rovira i Virgili]","4"
"2013","[Maggiore Bellaria Hospital, Bologna]","2"
"2013","[Craig Hospital]","2"
"2013","[Iroko Pharmaceuticals, LLC]","2"
"2013","[San Gerardo Hospital]","1"
"2013","[Vifor Pharma]","1"
"2013","[be Medical]","2"
"2013","[Meiji Seika Pharma Co., Ltd.]","4"
"2013","[KEMRI-Wellcome Trust Collaborative Research Program]","2"
"2013","[Novan, Inc.]","2"
"2013","[Liverpool University Hospitals NHS Foundation Trust]","1"
"2013","[American University of Sharfah]","1"
"2013","[Universidade Federal de Santa Catarina]","1"
"2013","[Colorado State University]","2"
"2013","[Nuwellis, Inc.]","1"
"2013","[ALK Nordic A/S, Danmark Filial]","1"
"2013","[Rockwell Medical Technologies, Inc.]","2"
"2013","[Durham VA Medical Center]","2"
"2013","[Scion NeuroStim]","1"
"2013","[St. Joseph's Healthcare Hamilton]","2"
"2013","[National Jewish Health]","3"
"2013","[University Hospital Center of Martinique]","3"
"2013","[South West Sydney Local Health District]","2"
"2013","[Foundation for the National Institutes of Health]","1"
"2013","[Shaoguan University]","1"
"2013","[Hellenic Anticancer Society]","1"
"2013","[IBSS Biomed S.A.]","1"
"2013","[National Institute of Child Health, Hungary]","1"
"2013","[Ortek Therapeutics, Inc.]","1"
"2013","[Ministry of Food and Drug Safety, Korea]","1"
"2014","[Chongqing Medical University]","2"
"2014","[University of Erlangen-Nürnberg Medical School]","10"
"2014","[Chiesi Canada Corp]","2"
"2014","[NoNO Inc.]","2"
"2004","[Michigan State University]","1"
"2003","[AIDS Malignancy Consortium]","5"
"2001","[Seattle Children's Hospital]","1"
"2003","[Children's Hospital of Philadelphia]","5"
"2002","[BioCryst Pharmaceuticals]","1"
"2005","[VA Office of Research and Development]","194"
"2004","[Anthera Pharmaceuticals]","1"
"2005","[Ejaz, Abulate A, MD]","1"
"2005","[CytoDyn, Inc.]","1"
"2005","[QualiLife Pharmaceuticals]","1"
"2005","[Translumina GmbH]","1"
"2005","[IRCCS Policlinico S. Matteo]","1"
"2005","[Connecticut Children's Medical Center]","4"
"2005","[Norwegian University of Science and Technology]","75"
"2005","[University of Ulm]","5"
"2006","[Wales Cancer Trials Unit]","1"
"2005","[Hölmich, Per, M.D.]","1"
"2006","[Children's Oncology Group]","24"
"2006","[National Institute of Allergy and Infectious Diseases (NIAID)]","100"
"2006","[University Hospital, Linkoeping]","4"
"2006","[National Cancer Center, Korea]","2"
"2006","[SpinalMotion]","2"
"2006","[Multnomah County Health Department]","1"
"2006","[Sykehuset Telemark]","1"
"2006","[International Partnership for Microbicides, Inc.]","5"
"2006","[Taichung Veterans General Hospital]","5"
"2005","[Scripps Health]","1"
"2006","[Cordis Corporation]","8"
"2006","[Cyclacel Pharmaceuticals, Inc.]","2"
"2006","[Physicians Pharmaceuticals, Inc.]","1"
"2006","[Avidia]","1"
"2006","[Proacta, Incorporated]","1"
"2006","[Hospital Universitari de Bellvitge]","1"
"2006","[OBEcure Ltd.]","1"
"2006","[Allon Therapeutics]","1"
"2006","[Terry Fox Foundation]","1"
"2006","[The Center for Autism and Related Disorders]","1"
"2006","[Avanti Polar Lipids, Inc.]","1"
"2007","[Center for Human Reproduction]","1"
"2007","[National Taiwan University Hospital]","61"
"2007","[Dr. Falk Pharma GmbH]","3"
"2006","[Children´s Clinic, Randers]","1"
"2007","[NICHD Pelvic Floor Disorders Network]","1"
"2007","[National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS)]","2"
"2007","[Vitreous -Retina- Macula Consultants of New York]","1"
"2007","[GTx]","1"
"2007","[ProstaPlant Urology System Ltd.]","1"
"2007","[Keryx Biopharmaceuticals]","1"
"2007","[University of Versailles]","1"
"2007","[Medtronic Bakken Research Center]","5"
"2007","[Groupe d'Etude Therapeutique des Affections Inflammatoires Digestives]","4"
"2007","[OPKO Health, Inc.]","3"
"2007","[Palo Alto Medical Foundation]","3"
"2007","[Medtronic Endovascular]","3"
"2007","[Epimmune]","1"
"2007","[Carl T. Hayden VA Medical Center]","1"
"2007","[Seoul National Hospital]","2"
"2007","[Windtree Therapeutics]","1"
"2008","[Seoul National University Hospital]","25"
"2008","[ELA Medical, Inc.]","2"
"2008","[Alliance for Clinical Trials in Oncology]","16"
"2008","[Edward Via Virginia College of Osteopathic Medicine]","3"
"2008","[MaineHealth]","3"
"2008","[EMD Serono]","14"
"2008","[Erasme University Hospital]","4"
"2008","[National Institute of General Medical Sciences (NIGMS)]","1"
"2008","[Kyowa Kirin Co., Ltd.]","4"
"2008","[Faculdade de Medicina do ABC]","1"
"2008","[Azienda Ospedaliera Universitaria Policlinico]","1"
"2008","[University Hospital, Toulouse]","10"
"2008","[Henogen]","1"
"2008","[Fondazione Evidence per Attività e Ricerche Cardiovascolari ONLUS]","1"
"2008","[College of Dental Sciences, India]","1"
"2008","[Centre for Addiction and Mental Health]","8"
"2008","[RTI Surgical]","2"
"2008","[Navidea Biopharmaceuticals]","1"
"2008","[Synthes USA HQ, Inc.]","1"
"2008","[Urologic Consultants of Southeastern PA]","1"
"2008","[Hepasome Pharmaceuticals]","1"
"2008","[Texas Health Resources]","2"
"2008","[Changi General Hospital]","1"
"2008","[University of Witten/Herdecke]","2"
"2008","[Krankenhaus Nordwest]","1"
"2008","[CSA Medical, Inc.]","8"
"2008","[Community Research Initiative of New England]","2"
"2008","[Anulex Technologies, Inc.]","1"
"2008","[European Society for Blood and Marrow Transplantation]","1"
"2008","[The New York Eye & Ear Infirmary]","2"
"2008","[Vector Oncology]","1"
"2009","[The University of Texas Health Science Center at San Antonio]","16"
"2009","[Medical University of Silesia]","1"
"2009","[Boston VA Research Institute, Inc.]","2"
"2009","[OHSU Knight Cancer Institute]","13"
"2009","[Vital Therapies, Inc.]","3"
"2009","[New York State Psychiatric Institute]","12"
"2009","[Fundación Oftalmológica de Santander Clínica Carlos Ardila Lulle]","1"
"2009","[University Hospital, Angers]","3"
"2009","[Center for International Blood and Marrow Transplant Research]","2"
"2009","[Ben-Gurion University of the Negev]","2"
"2009","[Pharming Technologies B.V.]","2"
"2009","[Tinea Pharmaceuticals]","1"
"2009","[Institute for Research & Development Sri Lanka]","1"
"2009","[Institut du Cancer de Montpellier - Val d'Aurelle]","10"
"2009","[Case Western Reserve University]","3"
"2009","[Swiss Group for Clinical Cancer Research]","6"
"2009","[Grupo Gallego de Investigaciones Oncologicas]","1"
"2009","[Brainsway]","1"
"2009","[Knopp Biosciences]","1"
"2009","[Sanjay Gandhi Postgraduate Institute of Medical Sciences]","2"
"2009","[West Virginia School of Osteopathic Medicine]","1"
