"source","count"
"[Monsea Ltd.]","1"
"[Myriad Genetic Laboratories, Inc.]","15"
"[North Shore Hospital, New Zealand]","1"
"[Manipal Acunova Ltd.]","1"
"[Hualan Biological Engineering, Inc.]","7"
"[Dart Therapeutics. LLC]","1"
"[Los Amigos Research and Education Institute]","2"
"[MAPS Applied Research Center]","1"
"[Taiwan Biotech Co., Ltd.]","1"
"[North Tees and Hartlepool NHS Foundation Trust]","2"
"[Koning (Tianjin) Medical Equipment Co., Ltd]","1"
"[Mercy Health System]","2"
"[High Point University]","11"
"[Center for Neurologic Study, La Jolla, California,]","1"
"[South East Area Health Education Center, Wilmington, NC]","3"
"[Mucos Pharma GmbH & Co. KG]","3"
"[Rauscher, Gregory E., M.D. PA]","2"
"[Azienda Ospedaliera Sant'Anna]","3"
"[Dundee Podiatry Clinic]","2"
"[Jiangsu Hansoh Pharmaceutical Co., Ltd.]","61"
"[PepTonic Medical AB]","6"
"[Academy of Interdisciplinary Dental Education and Research]","2"
"[Fondazione Edmund Mach]","2"
"[Intersection Medical, Inc.]","4"
"[Theron Pharmaceuticals, Inc.]","2"
"[Affiliated Hospital of Hebei University]","4"
"[Health Clinics Limited]","1"
"[St. Petersburg Bekhterev Research Psychoneurological Institute]","3"
"[BioNTech Diagnostics GmbH]","2"
"[CTC Bio, Inc.]","3"
"[ObsEva SA]","11"
"[Canadian Network for Observational Drug Effect Studies, CNODES]","14"
"[Big Ten Cancer Research Consortium]","36"
"[Alden Cancer Therapy II]","1"
"[LKC Technologies, Inc.]","2"
"[Dankook University]","1"
"[Institute of Cardiometabolism and Nutrition, France]","3"
"[Fundación Salutia]","2"
"[Immunocore Ltd]","9"
"[Universitätsklinik für Psychiatrie und Psychotherapeutische Medizin]","1"
"[Podimetrics, Inc.]","5"
"[Bright Future Pharmaceuticals Factory O/B Bright Future Pharmaceutical Laboratories Limited]","4"
"[Immutep Australia Pty. Ltd.]","1"
"[Instituto para la Evaluación de la Calidad y Atención en Salud]","1"
"[The Higher Institute of Sport and Physical Education of Sfax]","2"
"[Mt Sinai Hospital, Chicago]","2"
"[Hat Yai Medical Education Center]","6"
"[Onnits Labs, LLC]","1"
"[Philadelphia Urosurgical Associates]","3"
"[Tbilisi State University]","1"
"[Enteris BioPharma Inc.]","2"
"[Vascular and Molecular Cardiology Society]","3"
"[Bexion Pharmaceuticals, Inc.]","6"
"[FullHope Biomedical Co., Ltd.]","1"
"[Celsius42 GmbH]","1"
"[MDM S.p.A.]","2"
"[Péterfy Sándor Hospital]","3"
"[Azienda Sanitaria di Firenze]","2"
"[St. Lawrence Health System]","1"
"[Thomas Helleday Foundation]","2"
"[Fundación para la Investigación Biosanitaria del Principado de Asturias]","9"
"[Federal State Budgetary Scientific Institution, Scientific Research Institute of Rheumatology]","1"
"[Octimet Oncology N.V.]","1"
"[Taibah University]","12"
"[Cryobeauty]","2"
"[Hospital Donación Francisco Santojanni]","5"
"[Harrison International Peace Hospital]","1"
"[Broca Hospital]","6"
"[Digital Cognition Technologies]","1"
"[Genetesis Inc.]","10"
"[FBM Industria Brasileira Ltda]","1"
"[Universitat Politècnica de València]","4"
"[Samus Therapeutics, Inc.]","8"
"[Cartesian Therapeutics]","7"
"[TeamOBS]","1"
"[Metropolitan Eye Research & Surgery Institute]","1"
"[IO Biotech]","4"
"[Sultan Abdulhamid Han Training and Research Hospital, Istanbul, Turkey]","53"
"[VM Oncology, LLC]","1"
"[Polskie Towarzystwo Zakażeń Szpitalnych]","2"
"[Global Kinetics Corporation]","4"
"[Martin Pharmaceuticals]","1"
"[Happy People Games, LLC]","1"
"[Arch Oncology]","2"
"[Cwm Taf University Health Board (NHS)]","11"
"[NanoVation]","4"
"[Tianjin Hemay Oncology Pharmaceutical Co., Ltd]","3"
"[French Vasculitis Study Group]","1"
"[Nova Biomedical]","7"
"[Malaghan Institute of Medical Research]","2"
"[Central State Medical Academy]","1"
"[Fujian Cosunter Pharmaceutical Co. Ltd]","5"
"[Elixirgen Therapeutics, Inc.]","1"
"[Clarigent Health]","3"
"[Universidad Autónoma Benito Juárez de Oaxaca]","1"
"[Paderborn University]","2"
"[Prince Sultan Military College of Health Sciences]","5"
"[Huoshenshan Hospital]","1"
"[Cleave Therapeutics, Inc.]","1"
"[Eye Surgeons of Indiana]","2"
"[Expression Therapeutics, LLC]","1"
"[Shantou Central Hospital]","2"
"[Huami Corporation]","1"
"[Johns Hopkins Aramco Healthcare]","1"
"[Nexilis AG]","1"
"[Spineart USA]","2"
"[Liga Panamericana de Asociaciones de Reumatologia (PANLAR)]","2"
"[Alleviant Medical, Inc.]","5"
"[Centre de la main - CHUV]","1"
"[Starkey Laboratories, Inc]","3"
"[AlzeCure Pharma]","5"
"[National University of San Marcos, Peru]","2"
"[National Medical Research Radiological Centre of the Ministry of Health of Russia]","2"
"[Geneve TEAM Ambulances]","5"
"[Brain & Spine Institute (ICM)]","1"
"[Instituto Portugues da Face]","4"
"[Xennials Therapeutics Australia Pty Ltd]","1"
"[Zentera Therapeutics HK Limited]","3"
"[Adiso Therapeutics]","3"
"[Clinical Urology and Epidemiology Working Group]","2"
"[Coral Genomics, Inc.]","1"
"[Equilibre Biopharmaceuticals B.V.]","3"
"[AZ Nikolaas]","2"
"[Chumakov Federal Scientific Center for Research and Development of Immune-and-Biological Products]","5"
"[NeuroVention, LLC]","1"
"[University of the Fraser Valley]","2"
"[Paragate Medical LTD]","1"
"[CIT Ortho]","1"
"[101 Therapeutics]","3"
"[Caregen Co. Ltd.]","1"
"[Visualiza]","1"
"[MINO Labs, LLC]","1"
"[Lumendo AG]","1"
"[Cornwall Partnership NHS Foundation Trust]","2"
"[Barau Dikko Teaching Hospital]","1"
"[ConSynance Therapeutics]","1"
"[Chicago Headache Center & Research Institute]","2"
"[Instituto de Neurociencia de Castillas y Leon]","1"
"[Medical Center Ophthalmology Associates]","1"
"[PulseMedica]","1"
"[Central Park Medical College]","1"
"[Biokuris s.a.]","1"
"[National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)]","284"
"[AVAX Technologies]","5"
"[Pediatric Brain Tumor Consortium]","33"
"[Inflexxion, Inc.]","8"
"[Washington State, Department of Health]","1"
"[Tumor Center Regensburg]","5"
"[Karolinska University Hospital]","284"
"[Ramsey, Bonnie, MD]","2"
"[Janssen Pharmaceutical K.K.]","125"
"[Nykøbing Falster County Hospital]","4"
"[VSM Geneesmiddelen b.v.]","1"
"[Sanwa Kagaku Kenkyusho Co., Ltd.]","18"
"[Japan Clinical Cancer Research Organization]","6"
"[Center for Epidemiology and Health Research, Germany]","22"
"[San Francisco Department of Public Health]","11"
"[University Hospital, Aker]","3"
"[Cellectar Biosciences, Inc.]","11"
"[Dr. Josip Benčević General Hospital]","1"
"[Acute Leukemia French Association]","7"
"[University Medical Centre Ljubljana]","206"
"[Olympic Medical]","1"
"[Geha Mental Health Center]","6"
"[Arbeitsgemeinschaft medikamentoese Tumortherapie]","39"
"[Iran University of Medical Sciences]","19"
"[Universidad de Guanajuato]","31"
"[University of Skopje]","2"
"[Grupo Gallego de Cancer de Pulmon]","3"
"[Valeritas, Inc.]","2"
"[Kantonsspital Baselland Bruderholz]","10"
"[Pinnacle Health System]","2"
"[Targanta Therapeutics Corporation]","1"
"[Soul Medicine Institute]","12"
"[Kael-GemVax Co., Ltd.]","2"
"[Eulji General Hospital]","1"
"[Harbinger Medical, Inc.]","1"
"[Instituto de Cardiologia do Rio Grande do Sul]","59"
"[Systems Medicine LLC]","1"
"[Guy Hains Chiropractor]","3"
"[Active Implants]","4"
"[Welch Allyn]","1"
"[TheraGenetics Limited]","1"
"[Puleva Biotech]","4"
"[NephroGenex, Inc.]","2"
"[Dart NeuroScience, LLC]","7"
"[Neuren Pharmaceuticals Limited]","12"
"[Cristália Produtos Químicos Farmacêuticos Ltda.]","13"
"[PFM Medical, Inc]","2"
"[Dermatrials Research]","3"
"[Southeast Retina Center, Georgia]","6"
"[Virginia Eye Consultants]","2"
"[Schön Klinik Berchtesgadener Land]","49"
"[Biomed Research & Technologies, Inc.]","1"
"[Clearstream Technologies Ltd.]","1"
"[Obslap Research LLC]","1"
"[Biomerix]","1"
"[ProMedica Health System]","14"
"[Mithra Pharmaceuticals]","2"
"[CellMed AG, a subsidiary of BTG plc.]","4"
"[Direction Centrale du Service de Santé des Armées]","69"
"[Betta Pharmaceuticals Co., Ltd.]","65"
"[Manchester Metropolitan University]","15"
"[St Helens & Knowsley Teaching Hospitals NHS Trust]","2"
"[Universidade Católica de Pelotas]","2"
"[The Rotunda Hospital]","4"
"[Vidacare Corporation]","12"
"[Command Hospital, India]","3"
"[NSCB Medical College]","1"
"[American Oriental Bioengineering, Inc.]","1"
"[Craig, Nancy, M.D.]","1"
"[Association Recherche Méthodologie Evaluation Psychiatrique]","1"
"[Hospital Nacional de Parapléjicos de Toledo]","8"
"[Mental Health Centre Copenhagen]","17"
"[Madrigal Pharmaceuticals, Inc.]","15"
"[Inspira Medical AB]","1"
"[Horizon Pharma Rheumatology LLC]","1"
"[Città di Roma Hospital]","4"
"[Ivantis, Inc.]","5"
"[Apos Medical and Sports Technology Ltd.]","1"
"[Running Injury Clinic]","1"
"[Cardiovascular Clinical Science Foundation]","1"
"[Zynex Monitoring Solutions]","8"
"[National Pingtung University Science and Technology]","1"
"[AOSpine Europe]","1"
"[IonMed Ltd]","1"
"[Excelsior]","3"
"[Lannett Company, Inc.]","3"
"[Ministry of Health, Bhutan]","2"
"[IrisZorg]","5"
"[PIQUR Therapeutics AG]","7"
"[Chauhan, Suneet P., M.D.]","1"
"[Centro Hospitalar de Entre o Douro e Vouga]","2"
"[Clinact]","3"
"[PowerVision]","3"
"[Armata Pharmaceuticals, Inc.]","13"
"[argenx]","38"
"[Forte Sports Medicine and Orthopedics]","4"
"[Korean Hemodialysis Study Group]","1"
"[Hospital Barros Luco Trudeau]","1"
"[UNC Nutrition Research Institute]","2"
"[Retina Health Center]","2"
"[NuvOx LLC]","4"
"[German Society for Neurogastroenterology and Motility]","1"
"[Märkische Kliniken GmbH]","1"
"[Aurora BayCare Medical Center]","1"
"[Mvrx, Inc.]","2"
"[Beijing Institute of Heart, Lung and Blood Vessel Diseases]","19"
"[Taiwan Cancer Palliative Medicine]","1"
"[BerGenBio ASA]","8"
"[MAAB (Shanghai) Medical Device Limited]","1"
"[AG Clinic]","2"
"[British American Tobacco (Investments) Limited]","6"
"[SBI Pharmaceuticals Co, Ltd.]","1"
"[Vancouver Prostate Centre]","4"
"[Apexigen, Inc.]","4"
"[Tilray]","1"
"[Shandong Provincial Institute of Dermatology and Venereology]","1"
"[Tessa Therapeutics]","4"
"[Queen Victoria Hospital NHS Foundation Trust]","1"
"[Hospital de Manises]","3"
"[Shanghai Yizhong Biotechnology Co., Ltd.]","1"
"[Genmedica Therapeutics S.L.]","2"
"[Lakewood-Amedex Inc]","2"
"[RTOG Foundation, Inc.]","5"
"[Contextual Change LLC]","1"
"[Government Medical College, Patiala]","1"
"[Khamis Mushayt General Hospital]","1"
"[French Arthroscopic Society]","1"
"[Adare Pharmaceuticals, Inc.]","1"
"[Kheth'Impilo]","1"
"[Oak Crest Institute of Science]","1"
"[Crinetics Pharmaceuticals Inc.]","9"
"[Mossakowski Medical Research Centre Polish Academy of Sciences]","3"
"[AO Research Institute Davos]","3"
"[Guardant Health, Inc.]","7"
"[Munzur University]","6"
"[Evelo Biosciences, Inc.]","10"
"[Creavo Medical Technologies Ltd]","1"
"[FH Joanneum Gesellschaft mbH]","3"
"[ARAIR Assistance]","1"
"[AsierisPharma]","1"
"[Taryag Medical Ltd.]","2"
"[Eye Hospital Jules Gonin]","1"
"[Novus Therapeutics, Inc]","4"
"[Eyemed Centrum Okulistyczne]","1"
"[Feelwell Compression]","1"
"[Montclair State University]","5"
"[Mitre Medical Corp.]","2"
"[NKGen Biotech, Inc.]","4"
"[PACT Pharma, Inc.]","1"
"[Floreo, Inc.]","2"
"[Amal Therapeutics]","2"
"[Tiedra Farmacéutica SL]","1"
"[Lexington Medical Inc.]","4"
"[Clinique Paris-Bercy]","2"
"[HALEON]","18"
"[Aarogyam UK]","20"
"[Fasa University of Medical Sciences]","1"
"[Centro Specialistico Odontoiatrico, Rome]","1"
"[Healthcare Center Murska Sobota]","1"
"[Vektor Medical]","1"
"[Henry Dunant Hospital Center]","1"
"[Complejo Asistencial Universitario de León Urgencias]","1"
"[Israel Institute for Biological Research (IIBR)]","1"
"[Stingthera, Inc.]","1"
"[LuciLab]","2"
"[Yarmouk University]","2"
"[Center for Vaccine Development - Mali]","1"
"[Western Carolina University]","3"
"[Neuro Event Labs Inc.]","2"
"[ImmunSYS, LLC]","1"
"[Vishnevsky Center of Surgery]","2"
"[PhageTech, Inc.]","1"
"[AB Biotek]","1"
"[Eximis Surgical]","1"
"[Vita Green Health Products Co. Ltd]","1"
"[QBiotics Group Limited]","4"
"[Center for Ophthalmic and Vision Research, LLC]","2"
"[Research Institute of Ophthalmology, Egypt]","9"
"[Evoleen AG]","1"
"[Vascudyne, Inc.]","2"
"[Moscow Department of Health]","1"
"[General Therapeutics]","1"
"[Marmara University Pendik Training and Research Hospital]","2"
"[Ocean State Research Institute, Inc.]","1"
"[Beyond Batten Disease Foundation]","1"
"[Odontos, Specialisticna Zobna Ambulanta, d.o.o.]","1"
"[Lmeca]","1"
"[SOFIE]","2"
"[Nobias Therapeutics, Inc.]","1"
"[AbClon]","1"
"[Grupo Pulso]","1"
"[HelpWear Inc.]","2"
"[ICU Medical Technologies S.L.]","1"
"[Shalamar Institute of Health Sciences]","1"
"[Brainhero GmbH]","2"
"[CFD Research Corporation]","1"
"[Carecubes, Inc.]","1"
"[Pacific Research Institute]","1"
"[Navy Medical Center San Diego]","1"
"[Advanced BioDesign]","1"
"[Revibe Technologies]","1"
"[AesculaTech, Inc.]","1"
"[Shenzhen Zhongke Jingcheng Medical Technology Co., Ltd]","1"
"[Boston Children's Hospital]","521"
"[International Maternal Pediatric Adolescent AIDS Clinical Trials Group]","23"
"[CollaGenex Pharmaceuticals]","3"
"[Epimmune]","3"
"[University of Calgary]","569"
"[ChemoCentryx]","17"
"[Hvidovre University Hospital]","306"
"[Monash University]","64"
"[University Hospital, Rouen]","302"
"[National Taiwan University Hospital]","1996"
"[Ullevaal University Hospital]","21"
"[Danish Heart Foundation]","2"
"[Federal University of Rio Grande do Sul]","99"
"[Memorial Medical Center]","7"
"[Janssen Pharmaceutica N.V., Belgium]","56"
"[Medtronic Vascular]","52"
"[Vitatron France]","1"
"[Vermont Oxford Network]","3"
"[Fresenius Kabi Sino-Swed Pharmaceutical Corp. Ltd]","3"
"[Taiwan Otsuka Pharm. Co., Ltd]","7"
"[Accelerated Community Oncology Research Network]","17"
"[Boryung Pharmaceutical Co., Ltd]","94"
"[Faculdade de Medicina do ABC]","27"
"[Kanta-Häme Central Hospital]","4"
"[Children's Hospital and Health System Foundation, Wisconsin]","3"
"[Shanghai Jiao Tong University School of Medicine]","282"
"[Xanodyne Pharmaceuticals]","4"
"[Solsys Medical LLC]","5"
"[The Center for Rheumatic Disease, Allergy, & Immunology]","5"
"[European Society of Cutaneous Lupus Erythematosus e.V.]","2"
"[ReProtect Inc]","1"
"[Dexcel Pharma Technologies Ltd.]","5"
"[Renovo]","30"
"[Nazilli State Hospital]","1"
"[International Diabetes Institute, Australia]","1"
"[Genexine, Inc.]","32"
"[NanoPass Technologies Ltd]","3"
"[Gruppo Italiano MEsotelioma]","1"
"[Karo Bio AB]","4"
"[Biolex Therapeutics, Inc.]","3"
"[Swedish Match AB]","2"
"[Danisco]","21"
"[QRay Ltd.]","1"
"[Prostate Cancer Foundation of Chicago]","2"
"[Muhimbili University of Health and Allied Sciences]","14"
"[Shandong Simcere-Medgenn Bio-pharmaceutical Co., Ltd]","3"
"[Tesaro, Inc.]","32"
"[Zeltiq Aesthetics]","37"
"[Neodyne Biosciences, Inc.]","3"
"[National Institute of Nutrition and Seafood Research, Norway]","6"
"[St.Bernward Hospital]","1"
"[The Louis & Rachel Rudin Foundation]","1"
"[Interleukin Genetics, Inc.]","4"
"[Laboratoires Bailleul-Biorga]","1"
"[Bharat Serums and Vaccines Limited]","4"
"[Harokopio University]","49"
"[University of Malaya]","196"
"[Florida Heart Research Institute]","1"
"[Howard University]","13"
"[Apogenix AG]","4"
"[University of Barcelona]","54"
"[The Vascular Group, PLLC]","1"
"[Hunter College of City University of New York]","24"
"[Edusa Pharmaceuticals, Inc.]","1"
"[Pierre and Marie Curie University]","31"
"[Althaia Xarxa Assistencial Universitària de Manresa]","18"
"[Hunan University of Traditional Chinese Medicine]","1"
"[Autonomic Technologies, Inc.]","6"
"[Gruppo Italiano per lo Studio della Diverticolite Complicata]","1"
"[Advanced Center for Specialty Care]","1"
"[University of Guelph]","59"
"[Spanish Biomedical Research Centre in Diabetes and Associated Metabolic Disorders]","2"
"[Genetic Disease Investigators]","3"
"[Bharath Charitable Cancer Hospital and Institute]","1"
"[Ventria Bioscience]","1"
"[Haseki Training and Research Hospital]","20"
"[Institut fuer Frauengesundheit]","6"
"[Wheaton Franciscan Healthcare]","3"
"[OncoSec Medical Incorporated]","6"
"[National Cancer Institute, Slovakia]","6"
"[Aleris Obesity]","2"
"[South Florida Family Health and Research Centers]","1"
"[Millard Fillmore Gates Hospital]","1"
"[Asalus Medical Instruments Limited]","1"
"[San Luigi Gonzaga Hospital]","13"
"[King Abdul Aziz General Hospital]","1"
"[Lorenz Biotech S.p.A.]","1"
"[Central Coast Local Health District]","1"
"[Azienda Ospedaliero, Universitaria Ospedali Riuniti]","3"
"[Cesa Projects International]","1"
"[Nazarbayev University]","13"
"[Reflexion Health, Inc.]","1"
"[Xinhua Hospital, Shanghai Jiao Tong University School of Medicine]","175"
"[Hospital Regional de São José - Dr. Homero de Miranda Gomes]","1"
"[Marie Stopes International]","6"
"[Hospital Parc Taulí, Sabadell]","7"
"[Home Access Health Corporation]","1"
"[Serodus ASA]","2"
"[Marval Pharma Ltd.]","1"
"[Techfields Pharma Co. Ltd]","3"
"[Sahlgren´s University Hospital]","2"
"[The Children's Institute]","1"
"[Azienda USL Modena]","9"
"[Mentis Cura]","3"
"[IVF Research Sweden]","1"
"[Catholic University of Pelotas]","5"
"[Helix BioPharma Corporation]","4"
"[IST cardiology]","1"
"[jCyte, Inc]","3"
"[Stockholm Spine Center AB]","1"
"[IUATLD, Inc]","1"
"[Ophtec BV]","2"
"[Brookdale University Hospital Medical Center]","4"
"[Oncovir, Inc.]","4"
"[NimbleHeart Inc.]","1"
"[The First Affiliated Hospital of Shanxi Medical University]","2"
"[Laboratoire de Référence des Mycobactéries]","2"
"[Celavie Bioscences, LLC]","1"
"[Aleris-Hamlet Hospitaler København]","2"
"[Ocuwize LTD]","2"
"[Aytu BioPharma, Inc.]","3"
"[Beirut Eye Specialist Hospital]","2"
"[Complejo Hospitalario Universitario Insular Materno Infantil]","2"
"[Centre Hospitalier des Pays de Morlaix]","2"
"[Groupe de Recherche Clinique en Neuro-Urologie]","1"
"[HyGIeaCare, Inc.]","7"
"[Corium, Inc.]","8"
"[Squarex, LLC]","3"
"[Nam Dinh University of Nursing]","1"
"[Northern Arizona University]","18"
"[Beijing Dongfang Biotech Co., Ltd.]","3"
"[Centre Hospitalier Durécu Lavoisier]","1"
"[Association pour la Formation l'Enseignement et la Recherche du Service de l'Accueil des Urgences]","3"
"[Yaqrit Ltd]","3"
"[Association des Médecins Vasculaires Hospitaliers]","1"
"[University of Rwanda]","3"
"[Research Center Matrix]","1"
"[Sidero Bioscience, LLC]","2"
"[MyStrength, Inc.]","1"
"[Croydon Health Services NHS Trust]","3"
"[UroSee Corporation]","1"
"[Scilex Pharmaceuticals, Inc.]","14"
"[Alexandrovska University Hospital]","1"
"[Hospital San Juan de Dios, Santiago]","2"
"[PEMF Systems, Inc.]","2"
"[Cyberjaya University College of Medical Sciences]","3"
"[Jade Healthcare Group Inc.]","1"
"[Akademicka Poliklinika Stomatologiczna]","3"
"[Anklam Extrakt]","1"
"[Asepticys LLC]","1"
"[Hepion Pharmaceuticals, Inc.]","5"
"[Maxilofacial Institute Bara Gaseni]","1"
"[Istanbul Aydın University]","20"
"[Clinique Saint Jean, France]","5"
"[Boston Image Reading Center]","2"
"[Recens Medical, Inc.]","2"
"[Shenyang Dongxing Pharmaceutical Technology Co., Ltd.]","1"
"[INCLIVA]","2"
"[CHRISTUS Health]","8"
"[Seer Medical Pty Ltd]","1"
"[St. John Hospital & Medical Center]","1"
"[CinDome Pharma, Inc.]","3"
"[Surgery Bitenc]","2"
"[Cleerly, Inc.]","2"
"[SightTrust Eye Institute]","1"
"[Readout, Inc.]","1"
"[Lovexair Foundation]","1"
"[Locus Biosciences]","2"
"[Centre Hospitalier de Ham]","1"
"[Haim Bio Co., Ltd.]","1"
"[Naval Medical Center Camp Lejeune]","2"
"[Italian Association Neuroendocrine Tumors]","1"
"[Belluscura LLC]","2"
"[ObvioHealth]","1"
"[Clinique Néphrologique Saint-Exupéry]","1"
"[Poliklinika Novakov i saradnici]","1"
"[Istituto Internazionale di Ricerca e Formazione in Oftalmologia]","1"
"[Namida Lab]","5"
"[Picomole Inc]","2"
"[ND Sciences, LLC]","1"
"[Dairy Goat Co-operative (N.Z.) Limited]","2"
"[Proctos Kliniek]","2"
"[Stoparkinson Healthcare Systems LLC]","1"
"[RasCal Therapeutics, Inc.]","1"
"[BPAi]","1"
"[Sapanca Ilce Devlet Hastanesi]","1"
"[Unidade Local de Saúde de Matosinhos, EPE]","2"
"[Sona Nanotech Inc]","2"
"[Norton Thoracic Institute]","1"
"[Dr. Becker Hospital Group]","1"
"[German Oncology Center, Cyprus]","1"
"[AuXin Surgery SA]","2"
"[Médecins Sans Frontières, Kenya]","1"
"[NEXTGEN Bioscience]","1"
"[Tenaya Therapeutics]","2"
"[Nanjing Zenshine Pharmaceuticals]","7"
"[JLLC NatiVita]","1"
"[University of Sistan and Baluchestan]","1"
"[Queen Savang Vadhana Memorial Hospital, Thailand]","6"
"[CKD Bio Corporation]","4"
"[Transcendent International, LLC]","1"
"[ITMO University]","1"
"[RVAC Medicines (US), Inc.]","2"
"[Touro University Nevada]","3"
"[Leadiant Biosciences Ltd.]","1"
"[Shanghai Jiaolian Drug Research and Development Co., Ltd]","2"
"[Etablissement Public de Santé Barthélemy Durand]","2"
"[Koneksa Health]","1"
"[Rehazentrum Walenstadtberg]","1"
"[ImmunOs Therapeutics AG]","1"
"[Smart Alfa Teknoloji San. ve Tic. A.S.]","1"
"[Aviceda Therapeutics, Inc.]","1"
"[Yixing People's Hospital]","1"
"[Michigan State University]","111"
"[Cornell University]","69"
"[AtheroGenics]","2"
"[Baxter Healthcare Corporation]","122"
"[University of Padova]","150"
"[James A. Haley Veterans Administration Hospital]","8"
"[Grupo de Investigacao do Cancro Digestivo]","1"
"[Maritime Heart Centre]","1"
"[Dattoli Cancer Center and Brachytherapy Research Institute]","1"
"[Copenhagen University Hospital at Herlev]","69"
"[MediciNova]","17"
"[University of North Texas Health Science Center]","30"
"[Orthovita d/b/a Stryker]","2"
"[Posit Science Corporation]","31"
"[Ghana Health Services]","4"
"[Fredericia Hosptial]","3"
"[Women's and Children's Hospital, Australia]","4"
"[Chiesi Farmaceutici S.p.A.]","154"
"[Centro de Estudos Mário César de Rezende]","1"
"[Lamm, Steven, M.D.]","1"
"[Dallas VA Medical Center]","28"
"[Digestive Care, Inc.]","4"
"[Kansai Medical University]","1"
"[Cure Therapeutics]","1"
"[GI Dynamics]","15"
"[GSVM Medical College]","1"
"[TransPharma Medical]","1"
"[Kyorin University]","30"
"[Kolon TissueGene, Inc.]","5"
"[Recepta Biopharma]","3"
"[Chronic Lymphocytic Leukemia Research Consortium]","2"
"[Bambino Gesù Hospital and Research Institute]","51"
"[AGIRx Ltd.]","1"
"[University of Alcala]","80"
"[Vision Specialists of Birmingham]","2"
"[New Hope Fertility Center]","2"
"[Universidad Politecnica de Madrid]","22"
"[Cheng Hsin Rehabilitation Medical Center]","1"
"[Harrison Clinical Research]","1"
"[Guangzhou Mental Hospital]","1"
"[Rio de Janeiro State University]","58"
"[Italian Sarcoma Group]","25"
"[Yunyang Medical College]","1"
"[PathoLase, Inc.]","1"
"[Ativus Farmaceutica Ltda]","1"
"[Medacta USA]","12"
"[Trakya University]","69"
"[Corbridge Group Philippines, Inc.]","1"
"[University of Udine]","6"
"[Crospon]","1"
"[Hepa Wash GmbH]","2"
"[Women's Health Care Clinic, Torrance, California]","2"
"[Tolera Therapeutics, Inc]","1"
"[Scarborough General Hospital]","2"
"[Aeon Astron Europe B.V.]","2"
"[Azienda USL 4 Prato]","2"
"[The Hawkins Foundation]","13"
"[Fundación de Investigación Biomédica - Hospital Universitario de La Princesa]","33"
"[SeneXta Therapeutics SA]","1"
"[Oryx GmbH & Co. KG]","4"
"[Azienda Sanitaria Locale 4, Teramo]","2"
"[Versartis Inc.]","3"
"[Baoshan Prefecture Center for Disease Control and Prevention]","1"
"[Optinose US Inc.]","11"
"[Moscow State University of Medicine and Dentistry]","8"
"[Neurophyxia B.V.]","1"
"[Hunan Normal University]","6"
"[Weinberg Medical Physics LLC]","2"
"[Pharmstandard]","1"
"[PH&T S.p.A.]","1"
"[Bergen University College]","7"
"[Clínica Infantil Colsubsidio]","1"
"[Instituto de Investigación Sanitaria de la Fundación Jiménez Díaz]","44"
"[NYU Silver School of Social Work]","2"
"[ForSight Vision5, Inc.]","8"
"[Universidade Federal do vale do São Francisco]","13"
"[PT Bio Farma]","33"
